
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
svchost.exe                   1212 BrokerInfrastructure, DcomLaunch, PlugPlay,  
                                   Power, SystemEventsBroker                    
svchost.exe                   1352 RpcEptMapper, RpcSs                          
svchost.exe                   1396 LSM                                          
svchost.exe                   1788 HvHost                                       
svchost.exe                   1816 BTAGService                                  
svchost.exe                   1856 bthserv                                      
svchost.exe                   1864 BthAvctpSvc                                  
svchost.exe                   1980 nsi                                          
svchost.exe                   2040 TimeBrokerSvc                                
svchost.exe                    720 ProfSvc                                      
svchost.exe                    736 NcbService                                   
svchost.exe                   1228 netprofm                                     
svchost.exe                   2100 UserManager                                  
svchost.exe                   2108 DisplayEnhancementService                    
svchost.exe                   2164 hidserv                                      
svchost.exe                   2588 Dnscache                                     
svchost.exe                   2680 DeviceAssociationService                     
svchost.exe                   2692 PhoneSvc                                     
svchost.exe                   2700 camsvc                                       
svchost.exe                   2904 Dhcp                                         
svchost.exe                   3020 WinHttpAutoProxySvc                          
svchost.exe                   3036 hns                                          
svchost.exe                   2488 EventLog                                     
svchost.exe                   3116 SysMain                                      
svchost.exe                   3124 Themes                                       
svchost.exe                   3132 EventSystem                                  
svchost.exe                   3152 Schedule                                     
svchost.exe                   3300 SENS                                         
svchost.exe                   3392 AudioEndpointBuilder                         
svchost.exe                   3404 FontCache                                    
svchost.exe                   3600 StateRepository                              
svchost.exe                   3668 Audiosrv                                     
svchost.exe                   3680 CoreMessagingRegistrar                       
svchost.exe                   3736 TextInputManagementService                   
svchost.exe                   3884 DusmSvc                                      
svchost.exe                   3892 Wcmsvc                                       
svchost.exe                   4024 WlanSvc                                      
svchost.exe                   4048 ShellHWDetection                             
svchost.exe                   4296 BFE, mpssvc                                  
svchost.exe                   4360 Winmgmt                                      
svchost.exe                   4472 LanmanWorkstation                            
svchost.exe                   4532 DispBrokerDesktopSvc                         
svchost.exe                   4880 DPS                                          
svchost.exe                   4892 DiagTrack                                    
svchost.exe                   4900 CryptSvc                                     
svchost.exe                   5284 iphlpsvc                                     
svchost.exe                   5540 LanmanServer                                 
svchost.exe                   5656 TrkWks                                       
svchost.exe                   5788 WpnService                                   
svchost.exe                   7808 PolicyAgent                                  
svchost.exe                   8312 DeviceInstall                                
svchost.exe                   8664 InstallService                               
svchost.exe                   8696 StorSvc                                      
svchost.exe                   9804 PcaSvc                                       
svchost.exe                   7856 nvagent                                      
svchost.exe                   8132 SharedAccess                                 
svchost.exe                   3528 RmSvc                                        
svchost.exe                   7180 NgcCtnrSvc                                   
svchost.exe                  10440 TokenBroker                                  
svchost.exe                  10704 CDPSvc                                       
svchost.exe                  11108 Appinfo                                      
svchost.exe                   1924 SSDPSRV                                      
svchost.exe                  19536 seclogon                                     
svchost.exe                  21168 lfsvc                                        
svchost.exe                  18032 UsoSvc                                       
svchost.exe                  20300 wscsvc                                       
svchost.exe                   9620 SstpSvc                                      
svchost.exe                   1300 RasMan                                       
svchost.exe                   4036 LicenseManager                               
svchost.exe                  12476 InventorySvc                                 
svchost.exe                  11780 WebClient                                    
svchost.exe                   9540 W32Time                                      
svchost.exe                  16508 DsSvc                                        
svchost.exe                   4936 lmhosts                                      
svchost.exe                  33384 BluetoothUserService_d9fd101                 
svchost.exe                  45320 CDPUserSvc_d9fd101                           
svchost.exe                  35920 webthreatdefusersvc_d9fd101                  
svchost.exe                  47028 WpnUserService_d9fd101                       
svchost.exe                  20540 NgcSvc                                       
svchost.exe                  32448 cbdhsvc_d9fd101                              
svchost.exe                  10680 UdkUserSvc_d9fd101                           
svchost.exe                  44216 EapHost                                      
svchost.exe                   3652 NPSMSvc_d9fd101                              
svchost.exe                  38748 OneSyncSvc_d9fd101,                          
                                   PimIndexMaintenanceSvc_d9fd101,              
                                   UnistoreSvc_d9fd101, UserDataSvc_d9fd101     
svchost.exe                  38384 DevicesFlowUserSvc_d9fd101                   
svchost.exe                  30728 DoSvc                                        
svchost.exe                   6376 DevQueryBroker                               
svchost.exe                  46832 NetSetupSvc                                  
svchost.exe                  41292 AppXSvc                                      
svchost.exe                  25136 gpsvc                                        
